CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
50102038,SAKAING CRAP,Manhattan,737,9 AVENUE,10019
50114601,,Manhattan,39,GROVE STREET,10014
50044186,LEFKOS PYRGOS,Queens,3302,DITMARS BLVD,11105
40859127,GOODY'S SPANISH FOOD,Staten Island,201,PORT RICHMOND AVENUE,10302
41450143,GATO VERDE SPORTS BAR,Queens,8214,ROOSEVELT AVENUE,11372
50099750,TRACKSIDE BAR&GRILL,Staten Island,61,NEW DORP PLAZA NORTH,10306
50001689,DREDSURFER GRILL,Queens,16-27,SEAGIRT BLVD,11691
50101769,BROTHERS BAGEL,Brooklyn,532,NEPTUNE AVENUE,11224
40728353,UNIQUE LOUNGE,Staten Island,1757,ARTHUR KILL ROAD,10312
50084404,BUCCANEER DINER,Queens,9301,ASTORIA BLVD,11369
40787059,BOSTON MARKET,Queens,5124,NORTHERN BOULEVARD,11377
50126221,,Manhattan,415,3 AVENUE,10016
50066500,South Brooklyn Foundry,Brooklyn,6909,3 AVENUE,11209
50107028,A & S AT THE HARBOR CATERERS,Queens,533,BEACH  126 STREET,11694
50103352,A10TH KITCHEN,Manhattan,162,AVENUE A,10009
50074096,MARA'S GOURMET ICE CREAM PARLOR & ITALIAN ICES,Queens,9214,ROCKAWAY BEACH BLVD,11693
50117443,,Manhattan,28,7 AVENUE SOUTH,10014
50087906,CASA DEL TORO,Manhattan,626 B,10TH AVE,10036
50105118,GRAB & GO CAFE,Brooklyn,475,60 STREET,11220
41048429,CHIPOTLE MEXICAN GRILL,Brooklyn,185,MONTAGUE STREET,11201
41621218,SEA WITCH,Brooklyn,703,5 AVENUE,11215
50093747,SINIGUAL,Manhattan,640,3 AVENUE,10017
50124825,CHICK-FIL-A AT FIVE TOWNS,Queens,24923,ROCKAWAY BLVD,11422
50065931,MIGHTY QUINN'S,Manhattan,1407,BROADWAY,10018
50057858,MEXICO 2000,Brooklyn,369,BROADWAY,11211
41609204,KARVOUNA MEZZE,Manhattan,241,BOWERY,10002
50093094,HOOK'D ON THE HUDSON,Manhattan,555,12 AVENUE,10036
50101833,NEEL'S PIZZA & PASTA,Queens,1001,36TH AVE,11106
40369675,WHITE CASTLE,Queens,4302,QUEENS BOULEVARD,11104
50106776,EMILIO'S,Bronx,1051,MORRIS PARK AVENUE,10461
50073573,HART BAR,Brooklyn,538,HART STREET,11221
50112212,TAQUERIA MONARCA,Brooklyn,1690,EAST   16 STREET,11229
50102719,BEYOND SUSHI,Manhattan,1429,3 AVENUE,10028
41619708,LOUNGE BAR CAVE,Brooklyn,2320,MCDONALD AVENUE,11223
50054303,NEW HONG WONG SEAFOOD RESTAURANT,Manhattan,100,BOWERY,10013
50078075,HERO CERTIFIED BURGERS,Manhattan,453,EAST   78 STREET,10075
50001201,PORTO BELLO PIZZERIA & RESTAURANT,Queens,43-18,DITMARS BOULEVARD,11105
41701450,CIBO EXPRESS,Queens,0,LAGUARDIA AIRPORT,11369
40668464,TURKISH CUISINE,Manhattan,631,9 AVENUE,10036
41300025,SAL'S PIZZERIA,Queens,8507,JAMAICA AVENUE,11421
50112705,HEALTHY FRESH 3,Bronx,1033A,MORRIS PARK AVENUE,10461
50107564,"FRIEDMAN'S WEST, PICK-A-BAGEL",Manhattan,35,WEST END AVENUE,10023
50086042,SONEROS NIGHT CLUB BAR,Queens,9202,CORONA AVE,11373
50111241,EM VIETNAMESE BISTRO,Brooklyn,57,FRONT STREET,11201
50012221,ANDALUCIA BAR & LOUNGE,Brooklyn,1336,BUSHWICK AVENUE,11207
50055112,TRIO RESTAURANT,Queens,18134,UNION TPKE,11365
41430562,ONTARIO BAR,Brooklyn,559,GRAND STREET,11211
41638854,ANTONIO'S PIZZERIA,Brooklyn,32,COURT STREET,11201
50005142,EMPIRE STEAKHOUSE,Manhattan,237,WEST   54 STREET,10019
50080459,EASTVILLE,Brooklyn,487,ATLANTIC AVENUE,11217
50012070,CORKBUZZ WINEBAR CHELSEA MARKET,Manhattan,75,9 AVENUE,10011
50105529,BAPBAP,Queens,16006,NORTHERN BLVD,11358
50072616,SIDEWALK CAFE,Manhattan,160,COLUMBUS AVENUE,10023
50036053,ASADERO LA FOGATA,Queens,10840,CORONA AVE,11368
41491217,RIVIERA RISTORANTE,Queens,1712,UTOPIA PARKWAY,11357
50049958,LITTLE SHEEP MONGOLIAN HOT POT,Manhattan,105,BOWERY,10002
50107237,D RUKY NAY ANTOJITOS,Bronx,1570,WATSON AVENUE,10472
50106029,Playdate NYC,Queens,13529,ROOSEVELT AVE,11354
50110002,MARAKAND,Queens,98-98,QUEENS BOULEVARD,11374
50093687,J & K GOURMET,Queens,2302,COLLEGE POINT BLVD,11356
50012215,SKY CAFE,Queens,8620,WHITNEY AVE,11373
41638086,"DUNKIN',' BASKIN ROBBINS",Bronx,2,EAST KINGSBRIDGE ROAD,10468
50073333,UPTOWN MARKET,Queens,1,JFK INTL AIRPORT BLVD,11430
41426289,GEORGINA RESTAURANT,Bronx,1003,EAST  163 STREET,10459
40378136,BROADWAY RESTAURANT,Manhattan,2664,BROADWAY,10025
50116164,XI'AN FAMOUS FOODS,Manhattan,96,8 AVENUE,10011
50057727,"YIWANMEN, CHONG QING NOODLE",Manhattan,150,MOTT STREET,10013
50098775,PARTYBUS BAKESHOP,Manhattan,31,ESSEX STREET,10002
50054864,MCBEANS RESTAURANT,Brooklyn,1501,FLATBUSH AVENUE,11210
40942152,CROTON RESERVOIR TAVERN,Manhattan,108110,WEST   40 STREET,
41396679,STAND 213,Bronx,1,EAST  161 STREET,10451
41003717,KINGDOM PIZZA,Staten Island,4350,AMBOY ROAD,10312
50107650,GREAT WALL,Brooklyn,446A,MOTHER GASTON BOULEVARD,11212
50047119,GREAT WALL CHINESE RESTAURNAT,Bronx,732,EAST  187 STREET,10458
40993101,SANT AMBROEUS,Manhattan,259,WEST    4 STREET,10014
50094351,ALICE'S TEA CUP,Brooklyn,43,HICKS STREET,11201
41690493,STARBUCKS,Manhattan,135,JOHN STREET,10038
50047825,"L'AMICO, THE VINE",Manhattan,839,6 AVENUE,10001
41598070,VIA TRENTA,Queens,36-19,30 AVENUE,11103
41706083,VIDALIS PIZZA,Queens,3106,21 STREET,11106
50006410,KALINA RESTAURANT,Brooklyn,1476,BROADWAY,11221
50106172,Etto Espresso Bar,Queens,15949,CROSS BAY BOULEVARD,11414
50105739,LXL CHINESE FOOD,Queens,136-20,ROOSEVELT AVENUE,11354
50043234,SUPER TACO,Brooklyn,261,KINGS HIGHWAY,11223
40678235,BOURBON STREET,Queens,4012,BELL BOULEVARD,11361
50060686,HONEYGROW,Brooklyn,194,JORALEMON STREET,11201
50115231,EL MANA RESTAURANT,Bronx,3452,BOSTON ROAD,10469
50077644,WEST VILLAGE FINEST,Manhattan,84,7TH AVE S,10014
50044585,BAR GARDEN,Manhattan,4,PENN PLZ,10121
50111418,BORSALIA,Manhattan,1165,BROADWAY,10001
50043859,NEW EAST STAR,Bronx,987,WESTCHESTER AVENUE,10459
41157590,SEBA-SEBA,Queens,9601,ROOSEVELT AVENUE,11368
50099979,IF 520 DESSERT BAR,Queens,3636,PRINCE ST,11354
50111333,WILDBERRY CAKE,Brooklyn,1715,EMMONS AVENUE,11235
50051335,MASTER WOK,Bronx,200,BAYCHESTER AVENUE,10475
50058625,TIM HORTONS,Staten Island,1562,HYLAN BOULEVARD,10305
50062995,TRENDZ,Brooklyn,8906,DITMAS AVENUE,11236
41323665,CONEY ISLAND TASTE,Brooklyn,2580,CONEY ISLAND AVENUE,11223
50109509,UGLY DONUTS & CORNDOGS,Queens,13684,ROOSEVELT AVE,11354
50058992,TINA'S CUBAN CUISINE RESTAURANT,Manhattan,940,3 AVENUE,10022
50000538,BISTRO PUNTA SAL,Queens,4551,46 STREET,11377
50057614,TRAPIZZINO,Manhattan,144,ORCHARD STREET,10002
50105729,Paul's Bar Brooklyn,Brooklyn,283,NOSTRAND AVENUE,11216
41704440,12 CORAZONES RESTAURANT & BAR,Queens,8622,ROOSEVELT AVENUE,11372
50106962,PICK N PAY,Brooklyn,267,UTICA AVENUE,11213
50101203,FOOD WITH MELINDA,Brooklyn,293,VAN BRUNT STREET,11231
50098429,CHARM THAI CORP,Manhattan,1346,AMSTERDAM AVENUE,10027
50111665,Bonnie's,Brooklyn,398,MANHATTAN AVENUE,11211
50079962,HALAL XPRESS,Brooklyn,7524,18 AVENUE,11214
50063462,COPA-CABANA GRILL,Queens,8026,ROOSEVELT AVE,11372
41588813,6321 YUAN BAO,Brooklyn,6321,8 AVENUE,11220
50057052,THE FLOWER SHOP,Manhattan,107,ELDRIDGE STREET,10002
41571471,LITTLE CAESARS,Queens,14605,JAMAICA AVENUE,11435
50099475,BAREBURGER,Manhattan,184,8 AVENUE,10011
41554812,MI PEQUENA CHOLULA DELI RESTAURANTE,Brooklyn,1481,MYRTLE AVENUE,11237
50093978,DANNY'S CAFE EXPRESS,Brooklyn,626,SHEEPSHEAD BAY ROAD,11224
40711301,CHICKEN FESTIVAL,Queens,2919,DITMARS BOULEVARD,11105
41594856,CAFE GRUMPY LES LLC,Manhattan,13,ESSEX STREET,10002
50044007,SHALON RESTAURANT,Bronx,2734,JEROME AVENUE,10468
50007475,BHATTI INDIAN GRILL,Manhattan,100,LEXINGTON AVE,10016
50018224,MITI MITI TAPERIA,Brooklyn,138,5 AVENUE,11217
50122510,JERSEY MIKE'S 34069,Brooklyn,131,5 AVENUE,11217
41387224,B AND B RESTAURANT,Manhattan,165,WEST   26 STREET,10001
50047580,VERSA,Manhattan,218,WEST   35 STREET,10001
50109584,Talay Restaurant,Staten Island,154,STUYVESANT PLACE,10301
50102072,JERRY'S HAMBURGER PLACE,Bronx,473,EAST  146 STREET,10455
40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,100,CENTRE STREET,10013
50107370,PASTRY WORLD BAKERY,Brooklyn,374,5 AVENUE,11215
50116434,UGLY DONUTS AND CORNDOGS,Queens,22106,HORACE HARDING EXPY,11364
50101491,CONVENE,Manhattan,225,LIBERTY STREET,10280
50034819,BORO HOTEL,Queens,3828,27TH ST,11101
50121882,BAR7747,Queens,4142A,MAIN ST,11355
50107121,JUICE CHICKEN,Brooklyn,7021,3 AVENUE,11209
50086892,FLAVA CUISINE,Bronx,920A,EAST  233 STREET,10466
50086856,LAO FU ZHOU,Queens,8311,BROADWAY,11373
50104889,DON PEPE TORTAS Y JUGOS,Brooklyn,3908,5 AVENUE,11232
50033552,YUZU,Manhattan,350,LENOX AVENUE,10027
50082462,MOA COFFEE,Queens,4304,30TH AVE,11103
41075211,SUSHI GALLERY,Brooklyn,71,CLARK STREET,11201
50116177,UNCLE LUO YANG,Manhattan,610,AMSTERDAM AVENUE,10024
40755766,EL POLLO PERUANO,Queens,4119,NATIONAL STREET,11368
50117112,IPIC THEATERS FULTON MARKET,Manhattan,11,FULTON STREET,10038
41605861,PIER 25 SNACK BAR,Manhattan,225,WEST STREET,10013
40573412,THE TRIAD,Manhattan,158,WEST   72 STREET,10023
41236405,DUNKIN,Brooklyn,7111,3 AVENUE,11209
50087014,MCDONALD'S,Manhattan,336,EAST   23 STREET,10010
50103820,KAVKAZKIY DVORIK,Brooklyn,2715,AVENUE U,11229
50126220,,Manhattan,2259,ADAM CLAYTON POWELL JR BOULEVARD,
50082682,FLAVA RESTAURANT & LOUNGE,Bronx,3114,3 AVENUE,10451
40611399,RAO'S BAR & GRILL,Manhattan,455,EAST  114 STREET,10029
50125809,XPIZZA,Manhattan,190,FRONT STREET,10038
